23/08/2022,10:32:39,TH teste,23.3,65
23/08/2022,10:32:40,TH-Suporte,24.4,65
23/08/2022,11:00:01,TH-Suporte,24.4,65
23/08/2022,11:00:01,TH teste,24.8,78
23/08/2022,11:08:11,TH-Ypioca,25.6,67
23/08/2022,11:08:11,TH-Suporte,25.0,68
23/08/2022,11:23:46,TH-Ypioca,26.2,70
23/08/2022,11:23:47,TH-Suporte,25.0,68
23/08/2022,11:24:11,406,Authentication,failed
23/08/2022,11:24:11,406,Authentication failed,
23/08/2022,11:24:17,TH-Suporte,25.0,68
23/08/2022,11:24:17,TH-Ypioca,26.2,70
23/08/2022,11:26:24,406,Authentication failed,
23/08/2022,11:26:30,TH-Ypioca,26.1,64
23/08/2022,11:26:30,TH-Suporte,25.0,68
23/08/2022,11:31:55,TH-Ypioca,26.1,64
23/08/2022,11:31:56,TH-Suporte,25.0,68
23/08/2022,12:00:01,TH-Suporte,25.0,68
23/08/2022,12:00:01,TH-Ypioca,26.1,64
23/08/2022,13:00:01,TH-Ypioca,26.0,64
23/08/2022,13:00:02,TH-Suporte,25.0,68
23/08/2022,14:00:02,TH-Ypioca,27.2,68
23/08/2022,14:00:02,TH-Suporte,25.0,68
23/08/2022,15:00:01,TH-Ypioca,27.8,66
23/08/2022,15:00:01,TH-Suporte,25.0,68
23/08/2022,16:00:01,TH-Ypioca,28.4,63
23/08/2022,16:00:02,TH-Suporte,25.0,68
23/08/2022,17:00:02,TH-Ypioca,28.4,63
23/08/2022,17:00:02,TH-Suporte,25.0,68
23/08/2022,18:00:01,TH-Ypioca,28.4,63
23/08/2022,18:00:02,TH-Suporte,25.0,68
23/08/2022,19:00:01,TH-Ypioca,28.4,63
23/08/2022,19:00:02,TH-Suporte,24.9,69
24/08/2022,07:04:55,TH-Ypioca,28.3,63
24/08/2022,07:04:55,TH-Suporte,25.6,66
24/08/2022,08:00:01,TH-Ypioca,27.2,61
24/08/2022,08:00:02,TH-Suporte,25.0,64
24/08/2022,09:00:01,TH-Ypioca,26.2,63
24/08/2022,09:00:02,TH-Suporte,24.8,66
24/08/2022,10:00:01,TH-Ypioca,26.0,72
24/08/2022,10:00:02,TH-Suporte,24.8,66
24/08/2022,11:00:01,TH-Ypioca,25.9,66
24/08/2022,11:00:05,TH-Suporte,25.0,70
24/08/2022,12:00:01,TH-Suporte,25.0,70
24/08/2022,12:00:01,TH-Ypioca,25.9,66
24/08/2022,13:00:01,TH-Ypioca,27.3,65
24/08/2022,13:00:02,TH-Suporte,24.9,70
24/08/2022,14:00:02,TH-Ypioca,27.9,63
24/08/2022,14:00:02,TH-Suporte,24.9,70
24/08/2022,15:00:01,TH-Ypioca,27.9,63
24/08/2022,15:00:02,TH-Suporte,24.9,69
24/08/2022,16:00:01,TH-Ypioca,26.7,65
24/08/2022,16:00:02,TH-Suporte,24.9,63
24/08/2022,17:00:01,TH-Suporte,24.4,57
24/08/2022,17:00:01,TH-Ypioca,26.1,65
24/08/2022,18:00:01,TH-Ypioca,25.7,65
24/08/2022,18:00:02,TH-Suporte,23.8,59
24/08/2022,19:00:02,TH-Ypioca,25.7,71
24/08/2022,19:00:02,TH-Suporte,25.0,61
25/08/2022,07:03:46,TH-Ypioca,27.6,64
25/08/2022,07:03:46,TH-Suporte,25.2,63
25/08/2022,08:00:01,TH-Ypioca,27.6,64
25/08/2022,08:00:02,TH-Suporte,25.2,63
25/08/2022,09:00:01,TH-Ypioca,27.6,64
25/08/2022,09:00:01,TH-Suporte,25.2,63
25/08/2022,10:00:01,TH-Suporte,24.6,60
25/08/2022,10:00:01,TH-Ypioca,25.1,67
25/08/2022,11:00:02,TH-Ypioca,25.3,73
25/08/2022,11:00:02,TH-Suporte,24.1,56
25/08/2022,11:54:52,406,Authentication,failed
25/08/2022,11:54:52,406,Authentication failed,
25/08/2022,11:54:58,TH-Ypioca,25.5,67
25/08/2022,11:54:58,TH-Suporte,24.1,56
25/08/2022,11:56:15,TH-Suporte,24.1,56
25/08/2022,11:56:15,TH-Ypioca,25.5,67
25/08/2022,11:56:45,TH-Ypioca,25.5,67
25/08/2022,11:56:45,TH-Suporte,24.1,56
25/08/2022,12:00:01,TH-Ypioca,25.4,73
25/08/2022,12:00:02,TH-Suporte,24.1,56
25/08/2022,13:00:02,TH-Ypioca,25.0,60
25/08/2022,13:00:02,TH-Suporte,24.1,56
25/08/2022,14:00:01,TH-Ypioca,26.4,59
25/08/2022,14:00:02,TH-Suporte,24.1,56
25/08/2022,15:00:01,TH-Ypioca,25.6,68
25/08/2022,15:00:02,TH-Suporte,23.5,58
25/08/2022,16:00:01,TH-Ypioca,25.8,63
25/08/2022,16:00:01,TH-Suporte,23.5,58
25/08/2022,17:01:38,TH-Ypioca,25.4,69
25/08/2022,17:01:38,TH-Suporte,23.5,58
25/08/2022,18:00:01,TH-Ypioca,25.8,68
25/08/2022,18:00:02,TH-Suporte,22.9,53
25/08/2022,19:00:01,TH-Ypioca,26.4,63
25/08/2022,19:00:02,TH-Suporte,22.9,53
26/08/2022,07:03:52,TH-Ypioca,27.3,61
26/08/2022,07:03:52,TH-Suporte,24.7,59
26/08/2022,08:00:01,TH-Ypioca,26.1,65
26/08/2022,08:00:01,TH-Suporte,25.1,61
26/08/2022,09:00:05,TH-Ypioca,25.1,70
26/08/2022,09:00:05,TH-Suporte,24.5,61
26/08/2022,10:00:01,TH-Ypioca,25.3,64
26/08/2022,10:00:01,TH-Suporte,24.5,61
26/08/2022,11:00:01,TH-Ypioca,25.3,70
26/08/2022,11:00:02,TH-Suporte,24.5,61
